18/03/10 03:50:08 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/10 03:50:08 INFO client.RMProxy: Connecting to ResourceManager at cluster-cc92-m/10.138.0.4:8032
18/03/10 03:50:10 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/10 03:50:11 INFO input.FileInputFormat: Total input files to process : 3035
18/03/10 03:50:12 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/10 03:50:12 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1520649843772_0008
18/03/10 03:50:12 INFO impl.YarnClientImpl: Submitted application application_1520649843772_0008
18/03/10 03:50:12 INFO mapreduce.Job: The url to track the job: http://cluster-cc92-m:8088/proxy/application_1520649843772_0008/
18/03/10 03:50:12 INFO mapreduce.Job: Running job: job_1520649843772_0008
18/03/10 03:50:19 INFO mapreduce.Job: Job job_1520649843772_0008 running in uber mode : false
18/03/10 03:50:19 INFO mapreduce.Job:  map 0% reduce 0%
18/03/10 03:50:52 INFO mapreduce.Job:  map 1% reduce 0%
18/03/10 03:51:47 INFO mapreduce.Job:  map 2% reduce 0%
18/03/10 03:52:28 INFO mapreduce.Job:  map 3% reduce 0%
18/03/10 03:53:21 INFO mapreduce.Job:  map 4% reduce 0%
18/03/10 03:54:08 INFO mapreduce.Job:  map 5% reduce 0%
18/03/10 03:54:52 INFO mapreduce.Job:  map 6% reduce 0%
18/03/10 03:55:41 INFO mapreduce.Job:  map 7% reduce 0%
18/03/10 03:56:28 INFO mapreduce.Job:  map 8% reduce 0%
18/03/10 03:57:11 INFO mapreduce.Job:  map 9% reduce 0%
18/03/10 03:57:58 INFO mapreduce.Job:  map 10% reduce 0%
18/03/10 03:58:44 INFO mapreduce.Job:  map 11% reduce 0%
18/03/10 03:59:26 INFO mapreduce.Job:  map 12% reduce 0%
18/03/10 04:00:12 INFO mapreduce.Job:  map 13% reduce 0%
18/03/10 04:00:53 INFO mapreduce.Job:  map 14% reduce 0%
18/03/10 04:01:41 INFO mapreduce.Job:  map 15% reduce 0%
